Symbol,Quantity,EMA1,EM2,PositionType,TimeFrame,CPR_Timeframe,Segment
DEEPAKNTR-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
WIPRO-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
APOLLOHOSP-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BERGEPAINT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
CANFINHOME-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
SHRIRAMFIN-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
CHOLAFIN-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
UPL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ADANIENT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HINDCOPPER-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
MOTHERSON-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HAVELLS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
PIIND-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
AARTIIND-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
NIFTY-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
IPCALAB-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BANKNIFTY-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
AUBANK-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
DIXON-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
SUNPHARMA-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
AUROPHARMA-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ABCAPITAL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
MPHASIS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
NMDC-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
SBILIFE-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ICICIGI-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
IEX-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HDFCLIFE-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
INDIACEM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BANDHANBNK-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HAL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HDFCAMC-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
IOC-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
MANAPPURAM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
CONCOR-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
METROPOLIS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
POLYCAB-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
INDIAMART-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
MARICO-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
IRCTC-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
SBICARD-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BANKBARODA-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
GAIL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ICICIBANK-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
INDUSINDBK-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
CUB-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
AXISBANK-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
NATIONALUM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HCLTECH-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
JINDALSTEL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
GLENMARK-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ZYDUSLIFE-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
TVSMOTOR-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BSOFT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
GODREJCP-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
UNITDSPR-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BHARTIARTL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
PNB-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
OFSS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
UBL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
GRANULES-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
CANBK-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
DIVISLAB-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
MARUTI-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
NAVINFLUOR-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
IGL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
PETRONET-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BIOCON-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ULTRACEMCO-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
TCS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
