,date,open,high,low,close,Volume,EMA1,EMA2
0,2024-07-03 10:05:00+05:30,1499.95,1499.95,1495.55,1498.5,4874,,
1,2024-07-03 10:10:00+05:30,1498.45,1503.45,1498.4,1503.45,2126,,
2,2024-07-03 10:15:00+05:30,1502.85,1503.95,1502.8,1503.5,1696,,
3,2024-07-03 10:20:00+05:30,1503.7,1503.7,1500.45,1500.55,931,,
4,2024-07-03 10:25:00+05:30,1500.55,1501.45,1498.2,1499.2,2038,,
5,2024-07-03 10:30:00+05:30,1499.15,1500.0,1498.0,1498.25,1282,,
6,2024-07-03 10:35:00+05:30,1498.0,1499.1,1497.35,1498.0,937,,
7,2024-07-03 10:40:00+05:30,1498.05,1500.2,1497.5,1500.2,1802,,
8,2024-07-03 10:45:00+05:30,1500.05,1501.75,1499.05,1500.2,1671,1500.2055555555555,
9,2024-07-03 10:50:00+05:30,1500.25,1501.25,1499.6,1500.6,1463,1500.2844444444445,
10,2024-07-03 10:55:00+05:30,1500.6,1500.6,1499.15,1499.25,1060,1500.0775555555556,
11,2024-07-03 11:00:00+05:30,1500.2,1500.8,1495.9,1497.0,6993,1499.4620444444447,
12,2024-07-03 11:05:00+05:30,1497.4,1506.55,1497.0,1504.4,7761,1500.449635555556,
13,2024-07-03 11:10:00+05:30,1504.25,1504.35,1501.65,1502.95,669,1500.9497084444447,
14,2024-07-03 11:15:00+05:30,1502.1,1503.6,1498.5,1498.5,2518,1500.4597667555558,
15,2024-07-03 11:20:00+05:30,1499.2,1500.0,1497.2,1498.45,1609,1500.0578134044447,
16,2024-07-03 11:25:00+05:30,1498.5,1499.3,1497.3,1499.3,868,1499.9062507235558,
17,2024-07-03 11:30:00+05:30,1499.0,1500.0,1498.0,1498.0,951,1499.5250005788448,
18,2024-07-03 11:35:00+05:30,1498.0,1498.45,1496.95,1498.45,856,1499.310000463076,
19,2024-07-03 11:40:00+05:30,1498.4,1499.0,1497.2,1497.2,429,1498.888000370461,
20,2024-07-03 11:45:00+05:30,1497.6,1498.45,1497.2,1497.4,550,1498.590400296369,1499.6833333333334
21,2024-07-03 11:50:00+05:30,1497.4,1497.4,1495.05,1495.3,3910,1497.9323202370952,1499.2848484848485
22,2024-07-03 11:55:00+05:30,1495.25,1496.7,1495.05,1496.0,545,1497.5458561896762,1498.9862258953167
23,2024-07-03 12:00:00+05:30,1496.0,1496.45,1495.05,1495.25,647,1497.086684951741,1498.6465689957424
24,2024-07-03 12:05:00+05:30,1495.9,1496.15,1490.2,1492.3,8836,1496.129347961393,1498.0696081779477
25,2024-07-03 12:10:00+05:30,1492.3,1492.3,1490.55,1491.5,1436,1495.2034783691145,1497.4723710708613
26,2024-07-03 12:15:00+05:30,1492.0,1493.0,1491.3,1492.85,1294,1494.7327826952915,1497.0521555189648
27,2024-07-03 12:20:00+05:30,1492.85,1493.2,1492.0,1493.2,360,1494.4262261562333,1496.7019595626953
28,2024-07-03 12:25:00+05:30,1493.0,1493.2,1491.0,1491.0,566,1493.7409809249866,1496.1835996024502
29,2024-07-03 12:30:00+05:30,1491.05,1492.1,1491.0,1492.1,422,1493.4127847399893,1495.8123632749548
30,2024-07-03 12:35:00+05:30,1492.1,1492.8,1491.0,1491.0,790,1492.9302277919915,1495.3748757045043
31,2024-07-03 12:40:00+05:30,1491.55,1491.6,1490.55,1490.55,1191,1492.4541822335932,1494.9362506404584
32,2024-07-03 12:45:00+05:30,1490.55,1491.55,1490.3,1491.35,1969,1492.2333457868747,1494.610227854962
33,2024-07-03 12:50:00+05:30,1490.85,1491.35,1490.8,1491.15,525,1492.0166766295,1494.295661686329
34,2024-07-03 12:55:00+05:30,1491.4,1491.4,1490.2,1490.9,963,1491.7933413036,1493.9869651693898
35,2024-07-03 13:00:00+05:30,1490.9,1491.75,1490.55,1491.0,611,1491.6346730428802,1493.7154228812633
36,2024-07-03 13:05:00+05:30,1491.0,1491.7,1491.0,1491.1,364,1491.5277384343042,1493.4776571647847
37,2024-07-03 13:10:00+05:30,1491.65,1492.8,1491.1,1492.7,3100,1491.7621907474434,1493.4069610588951
38,2024-07-03 13:15:00+05:30,1491.9,1492.55,1491.4,1491.5,819,1491.7097525979548,1493.2336009626317
39,2024-07-03 13:20:00+05:30,1492.0,1492.5,1491.05,1491.75,2407,1491.717802078364,1493.098728147847
40,2024-07-03 13:25:00+05:30,1491.75,1491.8,1490.55,1491.05,3435,1491.5842416626913,1492.9124801344062
41,2024-07-03 13:30:00+05:30,1491.05,1491.85,1490.0,1490.0,1760,1491.267393330153,1492.6477092130965
42,2024-07-03 13:35:00+05:30,1490.0,1490.4,1486.9,1488.4,5750,1490.6939146641225,1492.2615538300877
43,2024-07-03 13:40:00+05:30,1489.1,1491.1,1488.45,1491.1,4047,1490.7751317312982,1492.1559580273524
44,2024-07-03 13:45:00+05:30,1491.0,1491.2,1490.1,1490.5,350,1490.7201053850386,1492.0054163885022
45,2024-07-03 13:50:00+05:30,1491.15,1491.15,1489.4,1491.0,2172,1490.776084308031,1491.9140148986382
